Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;Sonstiger Baustoff;42;e;161;e;31840;e
;Landwirtschaftliche Betriebsgebäude;Stahl;1594;e;10184;e;423731;e
;;Stahlbeton;1226;e;8337;e;407150;e
;;Ziegel;398;e;1044;e;91433;e
;;Kalksandstein;73;e;281;e;17642;e
;;Porenbeton;48;e;144;e;12607;e
;;Leichtbeton/Bims;27;e;35;e;2660;e
;;Holz;1625;e;4708;e;272533;e
;;Sonstiger Baustoff;143;e;1101;e;38488;e
;Nichtlandwirtschaftliche Betriebsgebäude;Stahl;4876;e;37905;e;3000234;e
;;Stahlbeton;5037;e;94668;e;12275559;e
;;Ziegel;1968;e;5631;e;964635;e
;;Kalksandstein;721;e;3127;e;635025;e
;;Porenbeton;758;e;2915;e;392352;e
;;Leichtbeton/Bims;246;e;282;e;39848;e
;;Holz;2321;e;6147;e;681373;e
;;Sonstiger Baustoff;375;e;2169;e;181998;e
;Fabrik- und Werkstattgebäude;Stahl;1293;e;12616;e;1233624;e
;;Stahlbeton;1274;e;25780;e;3682217;e
;;Ziegel;299;e;1036;e;205277;e
;;Kalksandstein;133;e;630;e;122498;e
;;Porenbeton;145;e;759;e;120662;e
;;Leichtbeton/Bims;23;e;72;e;11207;e
;;Holz;305;e;1531;e;205468;e
;;Sonstiger Baustoff;49;e;420;e;44244;e
;Handelsgebäude;Stahl;239;e;1436;e;153077;e
;;Stahlbeton;549;e;9782;e;1727434;e
;;Ziegel;246;e;2470;e;370809;e
;;Kalksandstein;80;e;704;e;111436;e
;;Porenbeton;63;e;635;e;87156;e
;;Leichtbeton/Bims;6;e;40;e;6260;e
;;Holz;103;e;363;e;67805;e
;;Sonstiger Baustoff;25;e;326;e;43124;e
;Warenlagergebäude;Stahl;2693;e;20562;e;1265051;e
;;Stahlbeton;1349;e;45305;e;2647136;e
;;Ziegel;410;e;985;e;122048;e
;;Kalksandstein;133;e;732;e;73546;e
;;Porenbeton;151;e;1103;e;95277;e
;;Leichtbeton/Bims;46;e;79;e;8004;e
;;Holz;996;e;3553;e;285456;e
;;Sonstiger Baustoff;203;e;1311;e;79191;e
;Hotels und Gaststätten;Stahl;17;e;39;e;5796;e
;;Stahlbeton;239;e;4014;e;1635341;e
;;Ziegel;98;e;387;e;131814;e
;;Kalksandstein;83;e;673;e;240495;e
;;Porenbeton;121;e;159;e;51952;e
;;Leichtbeton/Bims;5;e;14;e;3548;e
;;Holz;131;e;198;e;69792;e
;;Sonstiger Baustoff;8;e;9;e;2758;e
;Sonstige Nichtwohngebäude;Stahl;318;e;1313;e;300829;e
;;Stahlbeton;854;e;10815;e;4076637;e
;;Ziegel;430;e;1293;e;459409;e
;;Kalksandstein;457;e;2014;e;714502;e
;;Porenbeton;219;e;523;e;169768;e
;;Leichtbeton/Bims;44;e;125;e;36191;e
;;Holz;587;e;1733;e;615833;e
;;Sonstiger Baustoff;68;e;186;e;32808;e
;Ausgewählte Infrastrukturgebäude(Nichtwohngebäude);Stahl;375;e;1996;e;418927;e
;;Stahlbeton;1289;e;15704;e;6059706;e
;;Ziegel;532;e;2014;e;694135;e
;;Kalksandstein;696;e;3853;e;1327842;e
;;Porenbeton;296;e;791;e;259242;e
;;Leichtbeton/Bims;49;e;146;e;45220;e
;;Holz;631;e;1853;e;644138;e
;;Sonstiger Baustoff;76;e;385;e;95959;e
__________
Baugenehmigungen: Einschließlich Fertigteilbau.
© Statistisches Bundesamt (Destatis), 2024
Stand: 21.11.2024 / 18:16:30
