Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;;Anzahl;Anzahl;1000 cbm;1000 cbm;Tsd. EUR;Tsd. EUR
2018;Wohngebäude;Stahl;19;e;23;e;7699;e
;;Stahlbeton;9847;e;29664;e;10448656;e
;;Ziegel;36014;e;45691;e;15334914;e
;;Kalksandstein;19924;e;38534;e;11983722;e
;;Porenbeton;26049;e;24451;e;7527888;e
;;Leichtbeton/Bims;3666;e;4355;e;1393369;e
;;Holz;20947;e;17946;e;6139608;e
;;Sonstiger Baustoff;1403;e;1822;e;544281;e
;Wohngebäude mit 1 Wohnung;Stahl;12;e;8;e;2262;e
;;Stahlbeton;5272;e;4521;e;1489947;e
;;Ziegel;27604;e;25105;e;8241327;e
;;Kalksandstein;12584;e;9920;e;2915476;e
;;Porenbeton;22039;e;16599;e;5102775;e
;;Leichtbeton/Bims;2778;e;2406;e;769530;e
;;Holz;18506;e;14370;e;4902855;e
;;Sonstiger Baustoff;1051;e;834;e;252829;e
;Wohngebäude mit 2 Wohnungen;Stahl;1;e;1;e;363;e
;;Stahlbeton;739;e;970;e;349148;e
;;Ziegel;3613;e;4583;e;1515338;e
;;Kalksandstein;1448;e;1731;e;530393;e
;;Porenbeton;2108;e;2343;e;713969;e
;;Leichtbeton/Bims;454;e;555;e;175103;e
;;Holz;1878;e;2107;e;716925;e
;;Sonstiger Baustoff;155;e;184;e;51889;e
;Wohngebäude mit 3 oder mehr Wohnungen;Stahl;4;e;11;e;4225;e
;;Stahlbeton;3746;e;22919;e;8097642;e
;;Ziegel;4755;e;15757;e;5494766;e
;;Kalksandstein;5839;e;26353;e;8349906;e
;;Porenbeton;1892;e;5450;e;1690037;e
;;Leichtbeton/Bims;431;e;1388;e;446621;e
;;Holz;537;e;1358;e;477517;e
;;Sonstiger Baustoff;195;e;801;e;237654;e
;Wohnheime;Stahl;2;e;3;e;849;e
;;Stahlbeton;90;e;1254;e;511919;e
;;Ziegel;42;e;246;e;83483;e
;;Kalksandstein;53;e;530;e;187947;e
;;Porenbeton;10;e;59;e;21107;e
;;Leichtbeton/Bims;3;e;5;e;2115;e
;;Holz;26;e;111;e;42311;e
;;Sonstiger Baustoff;2;e;4;e;1909;e
;Wohngebäude mit Eigentumswohnungen;Stahl;-;;-;;-;
;;Stahlbeton;2216;e;12395;e;4404721;e
;;Ziegel;2330;e;8096;e;2780108;e
;;Kalksandstein;2912;e;12373;e;3817315;e
;;Porenbeton;895;e;2674;e;825340;e
;;Leichtbeton/Bims;207;e;671;e;218402;e
;;Holz;262;e;597;e;219837;e
;;Sonstiger Baustoff;84;e;357;e;100411;e
;Nichtwohngebäude;Stahl;7031;e;51441;e;4106016;e
;;Stahlbeton;8145;e;134701;e;24342159;e
;;Ziegel;3147;e;9298;e;1957732;e
;;Kalksandstein;1739;e;8260;e;2280776;e
;;Porenbeton;1263;e;4216;e;760284;e
;;Leichtbeton/Bims;352;e;530;e;106309;e
;;Holz;4832;e;13347;e;1791898;e
;;Sonstiger Baustoff;638;e;3765;e;344826;e
;Anstaltsgebäude;Stahl;14;e;74;e;40307;e
;;Stahlbeton;158;e;2854;e;1317298;e
;;Ziegel;71;e;539;e;188828;e
;;Kalksandstein;222;e;1700;e;561193;e
;;Porenbeton;99;e;250;e;88430;e
;;Leichtbeton/Bims;10;e;33;e;11978;e
;;Holz;93;e;74;e;25422;e
;;Sonstiger Baustoff;10;e;147;e;59692;e
;Büro- und Verwaltungsgebäude;Stahl;229;e;1965;e;340915;e
;;Stahlbeton;870;e;18026;e;6265515;e
;;Ziegel;280;e;791;e;253427;e
;;Kalksandstein;266;e;1138;e;352414;e
;;Porenbeton;139;e;384;e;97127;e
;;Leichtbeton/Bims;25;e;55;e;15632;e
;;Holz;206;e;685;e;196737;e
