Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;;Anzahl;Anzahl;1000 cbm;1000 cbm;Tsd. EUR;Tsd. EUR
;;Porenbeton;38;e;90;e;25975;e
;;Leichtbeton/Bims;4;e;11;e;2825;e
;;Holz;100;e;137;e;39270;e
;;Sonstiger Baustoff;16;e;43;e;12848;e
;Sonstige Nichtwohngebäude;Stahl;274;e;1150;e;249898;e
;;Stahlbeton;909;e;11180;e;4081544;e
;;Ziegel;487;e;1434;e;482298;e
;;Kalksandstein;418;e;1737;e;572980;e
;;Porenbeton;244;e;545;e;165507;e
;;Leichtbeton/Bims;45;e;120;e;44038;e
;;Holz;533;e;1440;e;421243;e
;;Sonstiger Baustoff;70;e;188;e;36175;e
;Ausgewählte Infrastrukturgebäude(Nichtwohngebäude);Stahl;381;e;2101;e;343880;e
;;Stahlbeton;1170;e;14287;e;5543853;e
;;Ziegel;597;e;2087;e;691510;e
;;Kalksandstein;647;e;3463;e;1109732;e
;;Porenbeton;272;e;728;e;228503;e
;;Leichtbeton/Bims;42;e;116;e;39984;e
;;Holz;507;e;1480;e;446847;e
;;Sonstiger Baustoff;76;e;253;e;53392;e
__________
Baugenehmigungen: Einschließlich Fertigteilbau.
© Statistisches Bundesamt (Destatis), 2024
Stand: 21.11.2024 / 18:16:39
