Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;Stahlbeton;4739;e;95558;e;12012574;e
;;Ziegel;1846;e;4967;e;897558;e
;;Kalksandstein;805;e;2941;e;624350;e
;;Porenbeton;671;e;1991;e;333906;e
;;Leichtbeton/Bims;247;e;375;e;59457;e
;;Holz;2526;e;5617;e;740905;e
;;Sonstiger Baustoff;419;e;1834;e;145369;e
;Fabrik- und Werkstattgebäude;Stahl;1150;e;9887;e;1133975;e
;;Stahlbeton;1218;e;27642;e;4019524;e
;;Ziegel;254;e;929;e;175004;e
;;Kalksandstein;131;e;524;e;97197;e
;;Porenbeton;98;e;495;e;74665;e
;;Leichtbeton/Bims;30;e;117;e;19685;e
;;Holz;249;e;1525;e;286611;e
;;Sonstiger Baustoff;56;e;461;e;43610;e
;Handelsgebäude;Stahl;218;e;2235;e;292546;e
;;Stahlbeton;487;e;9967;e;1444730;e
;;Ziegel;224;e;1984;e;313226;e
;;Kalksandstein;91;e;842;e;173922;e
;;Porenbeton;73;e;619;e;100250;e
;;Leichtbeton/Bims;9;e;56;e;10175;e
;;Holz;130;e;433;e;78574;e
;;Sonstiger Baustoff;29;e;154;e;24044;e
;Warenlagergebäude;Stahl;2753;e;20549;e;1333530;e
;;Stahlbeton;1304;e;45705;e;2807938;e
;;Ziegel;425;e;1002;e;135397;e
;;Kalksandstein;139;e;533;e;68475;e
;;Porenbeton;146;e;519;e;58438;e
;;Leichtbeton/Bims;41;e;98;e;10227;e
;;Holz;1063;e;2753;e;216294;e
;;Sonstiger Baustoff;200;e;1109;e;59458;e
;Hotels und Gaststätten;Stahl;88;e;169;e;49098;e
;;Stahlbeton;239;e;4302;e;1685500;e
;;Ziegel;113;e;400;e;134779;e
;;Kalksandstein;72;e;527;e;194281;e
;;Porenbeton;63;e;158;e;59768;e
;;Leichtbeton/Bims;12;e;22;e;6891;e
;;Holz;174;e;283;e;92061;e
;;Sonstiger Baustoff;11;e;35;e;8134;e
;Sonstige Nichtwohngebäude;Stahl;328;e;1718;e;363978;e
;;Stahlbeton;821;e;10004;e;4068024;e
;;Ziegel;450;e;1391;e;568025;e
;;Kalksandstein;484;e;2421;e;851600;e
;;Porenbeton;246;e;947;e;295661;e
;;Leichtbeton/Bims;32;e;103;e;40188;e
;;Holz;642;e;1894;e;721838;e
;;Sonstiger Baustoff;87;e;346;e;69257;e
;Ausgewählte Infrastrukturgebäude(Nichtwohngebäude);Stahl;428;e;2842;e;602023;e
;;Stahlbeton;1356;e;16457;e;7300464;e
;;Ziegel;586;e;2229;e;863847;e
;;Kalksandstein;680;e;4273;e;1468658;e
;;Porenbeton;280;e;1242;e;389255;e
;;Leichtbeton/Bims;44;e;142;e;56087;e
;;Holz;623;e;2020;e;755407;e
;;Sonstiger Baustoff;101;e;448;e;90888;e
__________
Baugenehmigungen: Einschließlich Fertigteilbau.
© Statistisches Bundesamt (Destatis), 2024
Stand: 21.11.2024 / 18:16:21
