Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;;Anzahl;Anzahl;1000 cbm;1000 cbm;Tsd. EUR;Tsd. EUR
2015;Wohngebäude;Stahl;24;e;58;e;16199;e
;;Stahlbeton;9114;e;22799;e;6932517;e
;;Ziegel;37404;e;45043;e;13329549;e
;;Kalksandstein;21153;e;35822;e;9865101;e
;;Porenbeton;27636;e;24886;e;6960220;e
;;Leichtbeton/Bims;4038;e;4715;e;1371256;e
;;Holz;19295;e;16023;e;4967796;e
;;Sonstiger Baustoff;2107;e;2380;e;663568;e
;Wohngebäude mit 1 Wohnung;Stahl;9;e;7;e;1915;e
;;Stahlbeton;5529;e;4460;e;1299123;e
;;Ziegel;29395;e;26046;e;7676931;e
;;Kalksandstein;14724;e;11430;e;3063731;e
;;Porenbeton;23828;e;17930;e;4959286;e
;;Leichtbeton/Bims;3134;e;2719;e;788335;e
;;Holz;17399;e;13466;e;4174444;e
;;Sonstiger Baustoff;1700;e;1325;e;363701;e
;Wohngebäude mit 2 Wohnungen;Stahl;1;e;-;;140;e
;;Stahlbeton;644;e;832;e;253875;e
;;Ziegel;3690;e;4620;e;1360693;e
;;Kalksandstein;1502;e;1771;e;498662;e
;;Porenbeton;2204;e;2446;e;684962;e
;;Leichtbeton/Bims;449;e;517;e;149246;e
;;Holz;1468;e;1611;e;490970;e
;;Sonstiger Baustoff;193;e;223;e;61725;e
;Wohngebäude mit 3 oder mehr Wohnungen;Stahl;5;e;25;e;5933;e
;;Stahlbeton;2820;e;16589;e;5063897;e
;;Ziegel;4257;e;14006;e;4166875;e
;;Kalksandstein;4853;e;22135;e;6149387;e
;;Porenbeton;1585;e;4386;e;1276415;e
;;Leichtbeton/Bims;445;e;1448;e;423420;e
;;Holz;360;e;746;e;231317;e
;;Sonstiger Baustoff;202;e;789;e;220389;e
;Wohnheime;Stahl;9;e;26;e;8211;e
;;Stahlbeton;121;e;918;e;315622;e
;;Ziegel;62;e;372;e;125050;e
;;Kalksandstein;74;e;486;e;153321;e
;;Porenbeton;19;e;124;e;39557;e
;;Leichtbeton/Bims;10;e;30;e;10255;e
;;Holz;68;e;200;e;71065;e
;;Sonstiger Baustoff;12;e;43;e;17753;e
;Wohngebäude mit Eigentumswohnungen;Stahl;1;e;11;e;2000;e
;;Stahlbeton;1718;e;9675;e;2915431;e
;;Ziegel;2368;e;8486;e;2520782;e
;;Kalksandstein;2656;e;11684;e;3245067;e
