Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;Sonstiger Baustoff;227;e;1122;e;69579;e
;Hotels und Gaststätten;Stahl;25;e;48;e;22685;e
;;Stahlbeton;195;e;3096;e;1409141;e
;;Ziegel;95;e;363;e;148978;e
;;Kalksandstein;61;e;527;e;199994;e
;;Porenbeton;63;e;194;e;67517;e
;;Leichtbeton/Bims;11;e;48;e;15955;e
;;Holz;244;e;275;e;111361;e
;;Sonstiger Baustoff;16;e;114;e;39269;e
;Sonstige Nichtwohngebäude;Stahl;308;e;962;e;258424;e
;;Stahlbeton;861;e;9513;e;4444277;e
;;Ziegel;401;e;1525;e;684544;e
;;Kalksandstein;489;e;2674;e;1002016;e
;;Porenbeton;207;e;512;e;191069;e
;;Leichtbeton/Bims;45;e;102;e;45528;e
;;Holz;683;e;2278;e;1048967;e
;;Sonstiger Baustoff;78;e;284;e;77125;e
;Ausgewählte Infrastrukturgebäude(Nichtwohngebäude);Stahl;403;e;1968;e;368405;e
;;Stahlbeton;1319;e;16018;e;7648413;e
;;Ziegel;512;e;2460;e;1047169;e
;;Kalksandstein;658;e;4722;e;1774768;e
;;Porenbeton;227;e;748;e;273321;e
;;Leichtbeton/Bims;50;e;138;e;60874;e
;;Holz;745;e;2502;e;1134998;e
;;Sonstiger Baustoff;81;e;409;e;115466;e
__________
Baugenehmigungen: Einschließlich Fertigteilbau.
© Statistisches Bundesamt (Destatis), 2024
Stand: 21.11.2024 / 18:15:56
