Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;;Anzahl;Anzahl;1000 cbm;1000 cbm;Tsd. EUR;Tsd. EUR
;;Porenbeton;220;e;142;e;58105;e
;;Leichtbeton/Bims;7;e;13;e;6119;e
;;Holz;175;e;396;e;178527;e
;;Sonstiger Baustoff;6;e;29;e;12724;e
;Sonstige Nichtwohngebäude;Stahl;304;e;1266;e;469693;e
;;Stahlbeton;772;e;12472;e;6362769;e
;;Ziegel;362;e;1469;e;682414;e
;;Kalksandstein;412;e;2138;e;873737;e
;;Porenbeton;180;e;452;e;156864;e
;;Leichtbeton/Bims;39;e;72;e;26824;e
;;Holz;617;e;2527;e;1295771;e
;;Sonstiger Baustoff;53;e;210;e;53465;e
;Ausgewählte Infrastrukturgebäude(Nichtwohngebäude);Stahl;369;e;1651;e;556054;e
;;Stahlbeton;1285;e;17327;e;8340456;e
;;Ziegel;499;e;2353;e;1042302;e
;;Kalksandstein;564;e;3807;e;1707549;e
;;Porenbeton;212;e;704;e;246262;e
;;Leichtbeton/Bims;43;e;162;e;61850;e
;;Holz;667;e;2919;e;1446667;e
;;Sonstiger Baustoff;57;e;277;e;86400;e
__________
Baugenehmigungen: Einschließlich Fertigteilbau.
© Statistisches Bundesamt (Destatis), 2024
Stand: 21.11.2024 / 18:15:42
