Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;Hotels und Gaststätten;Stahl;22;e;87;e;19714;e
;;Stahlbeton;210;e;2775;e;1017867;e
;;Ziegel;111;e;634;e;216298;e
;;Kalksandstein;88;e;322;e;97146;e
;;Porenbeton;42;e;84;e;24144;e
;;Leichtbeton/Bims;8;e;43;e;13005;e
;;Holz;235;e;254;e;70366;e
;;Sonstiger Baustoff;8;e;27;e;6639;e
;Sonstige Nichtwohngebäude;Stahl;246;e;1419;e;188136;e
;;Stahlbeton;914;e;9231;e;3019162;e
;;Ziegel;482;e;1320;e;438412;e
;;Kalksandstein;476;e;1998;e;654022;e
;;Porenbeton;219;e;579;e;193082;e
;;Leichtbeton/Bims;44;e;102;e;34687;e
;;Holz;523;e;1377;e;379878;e
;;Sonstiger Baustoff;51;e;95;e;28621;e
;Ausgewählte Infrastrukturgebäude(Nichtwohngebäude);Stahl;313;e;2026;e;270305;e
;;Stahlbeton;1165;e;17468;e;5999358;e
;;Ziegel;617;e;2156;e;724738;e
;;Kalksandstein;689;e;3662;e;1154299;e
;;Porenbeton;260;e;761;e;249807;e
;;Leichtbeton/Bims;61;e;164;e;51794;e
;;Holz;1405;e;1794;e;496950;e
;;Sonstiger Baustoff;58;e;203;e;55156;e
__________
Baugenehmigungen: Einschließlich Fertigteilbau.
© Statistisches Bundesamt (Destatis), 2024
Stand: 21.11.2024 / 18:16:46
