STATIONS_ID;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT
1303;1;  120.0;    0.0;    0.0;0;   106.64
1303;1;  120.0;    0.0;    0.0;0;   113.64
1303;1;  120.0;    0.0;    0.0;0;   118.82
1303;1;  120.0;    0.0;    0.0;0;   121.61
1303;1;  122.0;    0.0;    0.0;0;   121.63
1303;1;  122.0;    0.0;    0.0;0;   118.86
1303;1;  121.0;    0.0;    0.0;0;   113.71
1303;1;  120.0;    0.0;    0.0;0;   106.73
1303;1;  118.0;    0.0;    0.0;0;    98.51
1303;1;  117.0;    2.0;    3.0;13;    89.54
1303;1;  118.0;   12.0;   47.0;60;    80.23
1303;1;  119.0;   17.0;  105.0;60;    70.99
1303;1;  122.0;   20.0;  161.0;60;    62.25
1303;1;  125.0;   22.0;  209.0;60;    54.56
1303;1;  127.0;   23.0;  241.0;60;    48.65
1303;1;  129.0;   24.0;  260.0;60;    45.39
1303;1;  130.0;   23.0;  260.0;60;    45.41
1303;1;  132.0;   24.0;  240.0;60;    48.70
1303;1;  133.0;   23.0;  205.0;60;    54.63
1303;1;  133.0;   22.0;  157.0;60;    62.34
1303;1;  133.0;   19.0;  100.0;60;    71.10
1303;1;  133.0;   12.0;   38.0;60;    80.37
1303;1;  131.0;    2.0;    3.0;13;    89.70
1303;1;  129.0;    0.0;    0.0;0;    98.70
1303;1;  125.0;    0.0;    0.0;0;   106.96
1303;1;  124.0;    0.0;    0.0;0;   113.97
1303;1;  122.0;    0.0;    0.0;0;   119.18
1303;1;  121.0;    0.0;    0.0;0;   121.98
1303;1;  121.0;    0.0;    0.0;0;   122.00
1303;1;  119.0;    0.0;    0.0;0;   119.22
1303;1;  119.0;    0.0;    0.0;0;   114.05
1303;1;  118.0;    0.0;    0.0;0;   107.05
1303;1;  117.0;    0.0;    0.0;0;    98.81
1303;1;  117.0;    2.0;    3.0;11;    89.83
1303;1;  117.0;   13.0;   46.0;60;    80.52
1303;1;  119.0;   19.0;  103.0;60;    71.29
1303;1;  122.0;   22.0;  160.0;60;    62.56
1303;1;  124.0;   25.0;  208.0;60;    54.89
1303;1;  127.0;   26.0;  241.0;60;    49.01
1303;1;  129.0;   27.0;  259.0;60;    45.76
1303;1;  130.0;   26.0;  259.0;60;    45.78
1303;1;  132.0;   25.0;  238.0;60;    49.05
1303;1;  133.0;   24.0;  204.0;60;    54.96
1303;1;  133.0;   22.0;  155.0;60;    62.65
1303;1;  132.0;   18.0;  100.0;60;    71.40
1303;1;  130.0;   12.0;   36.0;60;    80.66
1303;1;  127.0;    2.0;    2.0;11;    89.99
1303;1;  124.0;    0.0;    0.0;0;    99.00
1303;1;  123.0;    0.0;    0.0;0;   107.28
1303;1;  120.0;    0.0;    0.0;0;   114.32
1303;1;  120.0;    0.0;    0.0;0;   119.54
1303;1;  120.0;    0.0;    0.0;0;   122.35
1303;1;  118.0;    0.0;    0.0;0;   122.37
1303;1;  117.0;    0.0;    0.0;0;   119.58
1303;1;  117.0;    0.0;    0.0;0;   114.39
1303;1;  117.0;    0.0;    0.0;0;   107.37
1303;1;  115.0;    0.0;    0.0;0;    99.12
1303;1;  116.0;    2.0;    3.0;11;    90.12
1303;1;  116.0;   13.0;   44.0;60;    80.81
1303;1;  119.0;   19.0;  101.0;60;    71.58
1303;1;  121.0;   23.0;  158.0;60;    62.87
1303;1;  123.0;   26.0;  205.0;60;    55.22
1303;1;  125.0;   28.0;  238.0;60;    49.36
1303;1;  127.0;   29.0;  256.0;60;    46.13
1303;1;  130.0;   28.0;  254.0;60;    46.15
1303;1;  131.0;   28.0;  234.0;60;    49.41
1303;1;  131.0;   26.0;  200.0;60;    55.29
1303;1;  132.0;   23.0;  152.0;60;    62.96
1303;1;  131.0;   20.0;   95.0;60;    71.70
1303;1;  131.0;   12.0;   33.0;60;    80.95
1303;1;  130.0;    2.0;    2.0;8;    90.29
1303;1;  129.0;    0.0;    0.0;0;    99.31
1303;1;  129.0;    0.0;    0.0;0;   107.60
1303;1;  129.0;    0.0;    0.0;0;   114.66
1303;1;  127.0;    0.0;    0.0;0;   119.90
1303;1;  126.0;    0.0;    0.0;0;   122.73
1303;1;  128.0;    0.0;    0.0;0;   122.74
1303;1;  126.0;    0.0;    0.0;0;   119.94
1303;1;  126.0;    0.0;    0.0;0;   114.73
1303;1;  125.0;    0.0;    0.0;0;   107.69
1303;1;  125.0;    0.0;    0.0;0;    99.42
1303;1;  125.0;    2.0;    3.0;0;    90.42
1303;1;  125.0;   18.0;   37.0;58;    81.11
1303;1;  127.0;   31.0;   90.0;60;    71.88
1303;1;  130.0;   37.0;  145.0;60;    63.18
1303;1;  133.0;   41.0;  192.0;60;    55.55
1303;1;  135.0;   43.0;  227.0;60;    49.72
1303;1;  136.0;   45.0;  244.0;60;    46.51
1303;1;  136.0;   46.0;  243.0;60;    46.52
1303;1;  135.0;   41.0;  227.0;60;    49.77
1303;1;  137.0;   40.0;  191.0;60;    55.63
1303;1;  134.0;   33.0;  145.0;60;    63.27
1303;1;  133.0;   26.0;   91.0;60;    72.00
1303;1;  132.0;   15.0;   32.0;60;    81.24
1303;1;  131.0;    2.0;    2.0;7;    90.58
1303;1;  130.0;    0.0;    0.0;0;    99.61
1303;1;  130.0;    0.0;    0.0;0;   107.92
1303;1;  129.0;    0.0;    0.0;0;   115.00
1303;1;  128.0;    0.0;    0.0;0;   120.26
1303;1;  128.0;    0.0;    0.0;0;   123.10
1303;1;  128.0;    0.0;    0.0;0;   123.12
